;temperature;humidity;time
175;19.9;55;2022-05-02 08:44:04.645659
176;19.9;56;2022-05-02 08:44:04.645831
177;19.7;56;2022-05-02 08:44:12.006112
178;19.8;56;2022-05-02 08:48:37.886492
179;19.7;56;2022-05-02 08:50:36.833623
180;19.8;56;2022-05-02 08:51:31.507497
181;19.7;56;2022-05-02 08:52:58.242162
182;19.8;56;2022-05-02 08:56:21.933059
183;19.8;58;2022-05-02 08:59:13.660920
184;19.9;58;2022-05-02 09:00:44.185820
185;20.0;58;2022-05-02 09:03:14.289936
186;20.0;57;2022-05-02 09:06:17.188719
187;19.8;57;2022-05-02 09:07:03.570951
188;19.9;57;2022-05-02 09:08:28.363907
189;19.9;57;2022-05-02 09:08:28.367804
190;19.8;57;2022-05-02 09:09:36.377920
191;19.8;58;2022-05-02 09:09:36.384842
192;19.8;57;2022-05-02 09:11:10.775128
193;19.8;56;2022-05-02 09:12:06.480760
194;19.9;56;2022-05-02 09:21:15.960446
195;19.9;55;2022-05-02 09:21:15.966485
196;19.9;53;2022-05-02 09:22:44.548586
197;19.8;53;2022-05-02 09:24:30.012893
198;19.8;55;2022-05-02 09:24:30.018618
199;19.8;54;2022-05-02 09:25:39.762668
200;19.6;54;2022-05-02 09:27:29.218635
201;19.6;53;2022-05-02 09:27:29.230754
202;19.6;54;2022-05-02 09:31:44.105647
203;19.6;53;2022-05-02 09:33:12.779558
204;19.6;56;2022-05-02 09:33:49.255830
205;19.4;56;2022-05-02 09:34:43.504938
206;19.4;52;2022-05-02 09:34:43.508871
207;19.4;57;2022-05-02 09:35:27.336114
208;19.3;57;2022-05-02 09:36:15.996945
209;19.3;56;2022-05-02 09:36:59.812033
210;19.2;56;2022-05-02 09:39:34.241031
211;19.1;56;2022-05-02 09:41:12.467806
212;19.0;56;2022-05-02 09:42:31.834172
213;18.9;56;2022-05-02 09:45:23.529899
214;18.9;53;2022-05-02 09:45:23.534654
215;18.9;52;2022-05-02 09:47:16.820699
216;18.9;53;2022-05-02 09:49:51.630570
217;19.1;53;2022-05-02 10:00:27.413708
218;19.2;53;2022-05-02 10:03:47.409741
219;19.2;52;2022-05-02 10:05:25.529779
220;19.2;55;2022-05-02 10:11:40.101539
221;19.0;55;2022-05-02 10:13:09.697472
222;19.0;51;2022-05-02 10:13:09.701507
223;19.0;52;2022-05-02 10:15:57.534901
224;19.1;52;2022-05-02 10:21:58.009364
225;19.1;53;2022-05-02 10:21:58.018740
226;19.9;53;2022-05-02 10:23:44.592828
227;19.9;57;2022-05-02 10:23:44.600016
228;19.9;56;2022-05-02 10:25:09.585730
229;19.3;56;2022-05-02 10:29:04.430889
230;19.3;57;2022-05-02 10:31:19.356988
231;19.4;57;2022-05-02 10:32:35.842850
232;19.8;57;2022-05-02 10:32:53.762442
233;19.5;57;2022-05-02 10:39:45.935361
234;19.6;57;2022-05-02 10:44:21.294759
235;19.7;57;2022-05-02 10:58:15.555764
236;19.7;54;2022-05-02 10:58:15.600054
237;19.8;54;2022-05-02 11:02:39.755849
238;19.7;54;2022-05-02 11:04:19.092475
239;19.7;54;2022-05-02 11:04:21.650765
240;19.8;54;2022-05-02 11:06:48.903089
241;19.8;54;2022-05-02 11:07:24.062827
242;19.7;54;2022-05-02 11:09:06.010690
243;19.8;54;2022-05-02 11:10:36.552824
244;19.7;54;2022-05-02 11:14:51.113212
245;19.8;54;2022-05-02 11:16:27.466665
246;19.7;54;2022-05-02 11:21:21.680007
247;19.8;54;2022-05-02 11:22:37.266920
248;19.9;54;2022-05-02 11:23:33.066186
249;19.9;55;2022-05-02 11:23:33.254875
250;19.7;55;2022-05-02 11:27:22.232844
251;19.8;55;2022-05-02 11:29:08.034185
252;19.7;55;2022-05-02 11:30:19.682688
253;19.7;54;2022-05-02 11:31:16.947903
254;19.8;54;2022-05-02 11:31:48.262038
255;unavailable;54;2022-05-02 11:33:13.308837
256;unavailable;unavailable;2022-05-02 11:33:13.308965
257;unavailable;unavailable;2022-05-02 11:33:13.309127
258;unavailable;unavailable;2022-05-02 11:33:13.309202
259;19.8;unavailable;2022-05-02 11:33:50.079638
260;19.8;57;2022-05-02 11:33:50.165903
261;19.9;57;2022-05-02 11:33:50.166157
262;19.9;54;2022-05-02 11:33:50.166255
263;unavailable;54;2022-05-02 11:40:24.940827
264;unavailable;unavailable;2022-05-02 11:40:24.940991
265;unavailable;unavailable;2022-05-02 11:40:24.941204
266;unavailable;unavailable;2022-05-02 11:40:24.941277
267;19.8;unavailable;2022-05-02 11:40:27.899928
268;19.8;57;2022-05-02 11:40:28.521737
269;19.9;57;2022-05-02 11:40:28.521991
270;19.9;54;2022-05-02 11:40:28.522086
271;unavailable;54;2022-05-02 11:40:51.331925
272;unavailable;unavailable;2022-05-02 11:40:51.332091
273;unavailable;unavailable;2022-05-02 11:40:51.332253
274;unavailable;unavailable;2022-05-02 11:40:51.332328
275;19.8;unavailable;2022-05-02 11:40:58.432761
276;19.8;57;2022-05-02 11:40:59.854628
277;19.9;57;2022-05-02 11:40:59.854893
278;19.9;54;2022-05-02 11:40:59.854996
279;20.0;54;2022-05-02 11:44:44.800864
280;20.0;55;2022-05-02 11:44:44.807969
